ticker,etf
URI,BIBL
RSG,BIBL
TER,BIBL
PCAR,BIBL
NUE,BIBL
TRGP,BIBL
MCHP,BIBL
FANG,BIBL
ETR,BIBL
MSCI,BIBL
IDXX,BIBL
ON,BIBL
ODFL,BIBL
VTR,BIBL
SMCI,BIBL
JBL,BIBL
STLD,BIBL
EME,BIBL
PAYX,BIBL
FSLR,BIBL
ROP,BIBL
EXR,BIBL
FICO,BIBL
VEEV,BIBL
IQV,BIBL
IR,BIBL
ATO,BIBL
DOV,BIBL
CNP,BIBL
PSTG,BIBL
VRSK,BIBL
DVN,BIBL
JBHT,BIBL
EQR,BIBL
NXT,BIBL
CMS,BIBL
MTD,BIBL
WST,BIBL
FCNCA,BIBL
L,BIBL
IOT,BIBL
STE,BIBL
ENTG,BIBL
LSCC,BIBL
EVRG,BIBL
INCY,BIBL
ALB,BIBL
INVH,BIBL
WPC,BIBL
SUI,BIBL
NDSN,BIBL
HST,BIBL
WSO,BIBL
REG,BIBL
NTNX,BIBL
CSGP,BIBL
CSL,BIBL
NG=F,BIBL
TYL,BIBL
TRMB,BIBL
GPC,BIBL
ELS,BIBL
UDR,BIBL
EVR,BIBL
SWKS,BIBL
BSY,BIBL
VMI,BIBL
MOH,BIBL
OGE,BIBL
MANH,BIBL
ARE,BIBL
BLDR,BIBL
WAL,BIBL
AGCO,BIBL
SFM,BIBL
AOS,BIBL
CAG,BIBL
G,BIBL
LW,BIBL
EPAM,BIBL
CVLT,BIBL
UWMC,BIBL
BE,BLES
MRVL,BLES
IFX.DE,BLES
SMCI,BLES
ON,BLES
SMTC,BLES
STMPA.PA,BLES
DDOG,BLES
WDC,BLES
6723.T,BLES
QCOM,BLES
FTNT,BLES
LSCC,BLES
NXPI,BLES
DVN,BLES
SNOW,BLES
FSLR,BLES
CIEN,BLES
Y74866107,BLES
CVLT,BLES
MCHP,BLES
MPWR,BLES
NUE,BLES
AVGO,BLES
STLD,BLES
ITRK.L,BLES
SWKS,BLES
JBL,BLES
EDEN.PA,BLES
6954.T,BLES
TATE.L,BLES
SAIA,BLES
SYENS.BR,BLES
KLAC,BLES
PSTG,BLES
URI,BLES
NXT,BLES
ABBN.SW,BLES
NTNX,BLES
ANET,BLES
BWA,BLES
IBKR,BLES
AKAM,BLES
AKZA.AS,BLES
VMI,BLES
TER,BLES
JBHT,BLES
VRT,BLES
ANDR.VI,BLES
GMG.AX,BLES
NVAW.MU,BLES
ANTO.L,BLES
MOH,BLES
VOE.VI,BLES
WST,BLES
CAT,BLES
BHP.AX,BLES
PST.MI,BLES
ICLR,BLES
ENTG,BLES
R,BLES
POW.TO,BLES
RS,BLES
OTP.BD,BLES
6857.T,BLES
APH,BLES
NBIX,BLES
CON.DE,BLES
CP4.F,BLES
HOLN.SW,BLES
6845.T,BLES
HST,BLES
RIO.AX,BLES
3231.TW,BLES
SIKA.SW,BLES
SOON.SW,BLES
SCCO,BLES
SU.PA,BLES
WOR.AX,BLES
CSU.TO,BLES
RPRX,BLES
FCX,BLES
DECK,BLES
STMN.SW,BLES
FICO,BLES
EVR,BLES
MTN.JO,BLES
PKO.WA,BLES
MSCI,BLES
ODFL,BLES
BAX,BLES
CBOE,BLES
INVH,BLES
SK.PA,BLES
CW,BLES
AIT,BLES
BN.TO,BLES
EME,BLES
COIN,BLES
WAL,BLES
CNR.TO,BLES
8750.T,BLES
2802.T,BLES
BXP,BLES
DOC,BLES
ISP.MI,BLES
HLUN-A.CO,BLES
METSO.HE,BLES
BIO,BLES
MANH,BLES
PSA,BLES
FRT,BLES
BOL.PA,BLES
EMSN.SW,BLES
IOT,BLES
BAER.SW,BLES
CSX,BLES
LGEN.L,BLES
6273.T,BLES
ROIV,BLES
PFD.L,BLES
RRX,BLES
DSY.PA,BLES
SAND.ST,BLES
MHK,BLES
DANSKE.CO,BLES
ESS,BLES
EXR,BLES
SPG,BLES
PEO.WA,BLES
FMG.AX,BLES
TCL.AX,BLES
KBC.BR,BLES
VCT.NZ,BLES
NDSN,BLES
EXPD,BLES
EQR,BLES
TT,BLES
ASRNL.AS,BLES
GIVN.SW,BLES
PLD,BLES
SBK.JO,BLES
NTGY.MC,BLES
SCC-R.BK,BLES
DHI,BLES
RF,BLES
IFC.TO,BLES
UDR,BLES
IQV,BLES
WPC,BLES
FER.MC,BLES
CPT,BLES
WIE.VI,BLES
WPM.TO,BLES
REXR,BLES
SY1.DE,BLES
RYAAY,BLES
CRDA.L,BLES
DLR,BLES
DSV.CO,BLES
AME,BLES
SGSN.SW,BLES
RPM,BLES
FCNCA,BLES
HQY,BLES
ARE,BLES
SFM,BLES
LSEG.L,BLES
INCY,BLES
ALFA.ST,BLES
BRX,BLES
AAK.ST,BLES
PRU.L,BLES
EDPR.LS,BLES
MAA,BLES
VMC,BLES
SLB,BLES
LECO,BLES
CSL,BLES
NPN.JO,BLES
PKN.WA,BLES
LW,BLES
WSO,BLES
MDLZ,BLES
WELL,BLES
ALGN,BLES
KRN.DE,BLES
0002.HK,BLES
SSB,BLES
CLN.SW,BLES
KNIN.SW,BLES
PKG,BLES
0388.HK,BLES
ENEL.MI,BLES
PAYX,BLES
DOV,BLES
U11.SI,BLES
VAL.JO,BLES
SNA,BLES
CVE.TO,BLES
BIMBOA.MX,BLES
RACE.MI,BLES
PHM,BLES
VTR,BLES
APPF,BLES
GRMN,BLES
REA.AX,BLES
REG,BLES
MHID.IL,BLES
6005.T,BLES
WTC.AX,BLES
PRX.AS,BLES
CBA.AX,BLES
TRGP,BLES
DB1.DE,BLES
GMAB.CO,BLES
EVK.DE,BLES
MOL.BD,BLES
SLHN.SW,BLES
0017.HK,BLES
RMS.PA,BLES
BIMAS.IS,BLES
STO.AX,BLES
6146.T,BLES
ZS,BLES
CTAS,BLES
ELE.MC,BLES
ABTZY,BLES
TRN.MI,BLES
ATD.TO,BLES
PGHN.SW,BLES
IDXX,BLES
KGX.DE,BLES
0003.HK,BLES
SSNC,BLES
MLM,BLES
UCB.BR,BLES
6902.T,BLES
VNA.DE,BLES
TRYG.CO,BLES
IBE.MC,BLES
ALSN,BLES
CINF,BLES
EVRG,BLES
GTLS,BLES
1913.HK,BLES
CPRT,BLES
BVI.PA,BLES
1SAMP.MI,BLES
OMV.VI,BLES
SQM-B.SN,BLES
AGCO,BLES
2618.TW,BLES
FNV.TO,BLES
ALB,BLES
HUH1V.HE,BLES
NI,BLES
ENELAM.SN,BLES
AENA.MC,BLES
VEEV,BLES
HAL,BLES
DCI,BLES
SOLB.BR,BLES
BBSE3.SA,BLES
ELS,BLES
EDP.LS,BLES
AWI,BLES
OGE,BLES
FTS.TO,BLES
HER.MI,BLES
GEBN.SW,BLES
III.L,BLES
GFNORTEO.MX,BLES
CNP,BLES
RWE.DE,BLES
TTC,BLES
ETR,BLES
PCAR,BLES
SUI,BLES
VLO,BLES
PH,BLES
FAST,BLES
L,BLES
SRG.MI,BLES
EOAN.DE,BLES
BG,BLES
WKL.AS,BLES
DOX,BLES
UPM.HE,BLES
8001.T,BLES
AKRBP.OL,BLES
1299.HK,BLES
STE,BLES
BLDR,BLES
FANG,BLES
MKL,BLES
WEC,BLES
AEM,BLES
WRB,BLES
LGIH,BLES
NVR,BLES
CHKP,BLES
IP,BLES
CPB,BLES
NAB.AX,BLES
YAR.OL,BLES
PGR,BLES
TTE.PA,BLES
GPC,BLES
1972.HK,BLES
9020.T,BLES
F34.SI,BLES
MTD,BLES
BSY,BLES
ORLY,BLES
KNEBV.HE,BLES
FORTUM.HE,BLES
ICE,BLES
CMS,BLES
AFRY.ST,BLES
B3SA3.SA,BLES
ATR,BLES
DG,BLES
FFH.TO,BLES
OU8.F,BLES
EFX,BLES
G1A.F,BLES
ENI.MI,BLES
2892.TW,BLES
VRSK,BLES
COKE,BLES
TOU.TO,BLES
IR,BLES
SSE.L,BLES
ROP,BLES
KMI,BLES
COLO-B.CO,BLES
CNQ.TO,BLES
BEI.DE,BLES
TYL,BLES
WM,BLES
2912.TW,BLES
WSP.TO,BLES
ATO,BLES
WDS.AX,BLES
4519.T,BLES
5020.T,BLES
JMT.LS,BLES
GGG,BLES
DLEKG.TA,BLES
RSG,BLES
POOL,BLES
OKE,BLES
068270.KS,BLES
TOM.OL,BLES
SVTMF,BLES
EL.PA,BLES
TRMB,BLES
WTRG,BLES
ROL,BLES
NTR.TO,BLES
0175.HK,BLES
EOG,BLES
AWK,BLES
AOS,BLES
AZO,BLES
PCOR,BLES
VER.VI,BLES
G,BLES
UWMC,BLES
Z74.SI,BLES
WEGE3.SA,BLES
SPHXF,BLES
JKHY,BLES
Y451AA104,BLES
CENCOSUD.SN,BLES
BRO,BLES
ERIE,BLES
8830.T,BLES
CAG,BLES
EQNR.OL,BLES
EXE,BLES
APA,BLES
FRE.DE,BLES
Y2518H114,BLES
CF,BLES
LYB,BLES
SUZB3.SA,BLES
BBRI.JK,BLES
CSGP,BLES
BMRI.JK,BLES
EPAM,BLES
WLK,BLES
1605.T,BLES
CSL.AX,BLES
PODD,BLES
UNTR.JK,BLES
TPIA.JK,BLES
NG=F,BLES
SANM,FDLS
MYRG,FDLS
VSAT,FDLS
TBLA,FDLS
ARCB,FDLS
AMKR,FDLS
MCHP,FDLS
CYD,FDLS
ILPT,FDLS
CSTM,FDLS
ADTN,FDLS
MKSI,FDLS
BTSG,FDLS
LFUS,FDLS
CTS,FDLS
DAVE,FDLS
NTCT,FDLS
PLXS,FDLS
PRG,FDLS
ITRN,FDLS
CRUS,FDLS
MC,FDLS
CAT,FDLS
MG,FDLS
MITK,FDLS
RIGL,FDLS
ATI,FDLS
LFST,FDLS
EVER,FDLS
GRDN,FDLS
NESR,FDLS
FSBC,FDLS
AU,FDLS
LIVN,FDLS
QUAD,FDLS
GDOT,FDLS
BPOP,FDLS
YOU,FDLS
KE,FDLS
ADM,FDLS
MYE,FDLS
IRWD,FDLS
INSW,FDLS
NRIM,FDLS
MCY,FDLS
AUB,FDLS
NEM,FDLS
BGC,FDLS
CASY,FDLS
EME,FDLS
BAP,FDLS
EHC,FDLS
SPXC,FDLS
KNSA,FDLS
ITT,FDLS
FTI,FDLS
AIR,FDLS
NATL,FDLS
WMS,FDLS
PAX,FDLS
TPC,FDLS
GIC,FDLS
IHS,FDLS
VLO,FDLS
JBSS,FDLS
CWCO,FDLS
DDS,FDLS
HCI,FDLS
PR,FDLS
SKYW,FDLS
PARR,FDLS
BVS,FDLS
GPRE,FDLS
NMRK,FDLS
OXY,FDLS
GMED,FDLS
PRDO,FDLS
PLAB,FDLS
ESEA,FDLS
RNR,FDLS
BBW,FDLS
BDC,FDLS
INNV,FDLS
ED,FDLS
XP,FDLS
TCMD,FDLS
AVO,FDLS
GCT,FDLS
EXE,FDLS
DFIN,FDLS
EQT,FDLS
CF,FDLS
CELH,FDLS
YUMC,FDLS
CACI,FDLS
HRTG,FDLS
HLF,FDLS
EPAM,FDLS
AVNW,FDLS
IDCC,FDLS
IBKR,FDLS
KLAC,GLRY
MPWR,GLRY
AVGO,GLRY
CW,GLRY
APP,GLRY
EME,GLRY
APH,GLRY
BWXT,GLRY
UTHR,GLRY
CASY,GLRY
ACMR,GLRY
FLS,GLRY
FIX,GLRY
NRG,GLRY
OHI,GLRY
BRC,GLRY
AN,GLRY
IDCC,GLRY
TPL,GLRY
SEIC,GLRY
MUSA,GLRY
EHC,GLRY
RGA,GLRY
EXEL,GLRY
ORI,GLRY
AMG,GLRY
MLI,GLRY
NEM,GLRY
GPI,GLRY
FHI,GLRY
TKO,GLRY
DDS,GLRY
ANDE,GLRY
NG=F,GLRY
AVGO,PTL
XOM,PTL
CAT,PTL
HD,PTL
PLTR,PTL
QCOM,PTL
GEV,PTL
LIN,PTL
KLAC,PTL
ANET,PTL
NEE,PTL
APH,PTL
APP,PTL
SNDK,PTL
WDC,PTL
MRVL,PTL
SCCO,PTL
PLD,PTL
IBKR,PTL
WELL,PTL
PGR,PTL
FCX,PTL
NEM,PTL
PH,PTL
FTNT,PTL
VRT,PTL
PWR,PTL
FDX,PTL
MSCI,PTL
UPS,PTL
ADP,PTL
SNOW,PTL
ICE,PTL
SLB,PTL
WM,PTL
DDOG,PTL
MMM,PTL
MDLZ,PTL
CSX,PTL
EOG,PTL
CVNA,PTL
ORLY,PTL
MPWR,PTL
VLO,PTL
ROP,PTL
CRH,PTL
CTAS,PTL
CIEN,PTL
SPG,PTL
URI,PTL
KMI,PTL
ALAB,PTL
NSC,PTL
RSG,PTL
IQV,PTL
DLR,PTL
NUE,PTL
BKR,PTL
DAL,PTL
PCAR,PTL
AFL,PTL
NDAQ,PTL
FIX,PTL
FLEX,PTL
PSA,PTL
OXY,PTL
FANG,PTL
TRGP,PTL
AME,PTL
EW,PTL
MCHP,PTL
VST,PTL
OKE,PTL
TER,PTL
DVN,PTL
COHR,PTL
ODFL,PTL
FAST,PTL
ON,PTL
LNG,PTL
AZO,PTL
DHI,PTL
MSTR,PTL
IDXX,PTL
COIN,PTL
ETR,PTL
BE,PTL
AKAM,PTL
CRDO,PTL
TKO,PTL
ADM,PTL
CCI,PTL
CRWV,PTL
KVUE,PTL
PEG,PTL
JBL,PTL
VTR,PTL
PAYX,PTL
ROIV,PTL
STLD,PTL
ED,PTL
VMC,PTL
EME,PTL
MLM,PTL
CPRT,PTL
DXCM,PTL
ASTS,PTL
WEC,PTL
CBOE,PTL
RPRX,PTL
EXR,PTL
EQT,PTL
UI,PTL
DOV,PTL
FICO,PTL
FSLR,PTL
CPNG,PTL
HAL,PTL
JBHT,PTL
RMD,PTL
MDB,PTL
AFRM,PTL
MTSI,PTL
DTE,PTL
AEE,PTL
FCNCA,PTL
VG,PTL
IR,PTL
CPAY,PTL
JAZZ,PTL
VEEV,PTL
EIX,PTL
VRSK,PTL
FTAI,PTL
CNP,PTL
TPL,PTL
LEN,PTL
CASY,PTL
ATO,PTL
ALGN,PTL
XPO,PTL
RVMD,PTL
MTD,PTL
RF,PTL
DG,PTL
EQR,PTL
BG,PTL
HUBB,PTL
FE,PTL
AWK,PTL
CW,PTL
PHM,PTL
PSTG,PTL
MTZ,PTL
LYB,PTL
CINF,PTL
CRS,PTL
UTHR,PTL
NRG,PTL
TW,PTL
INSM,PTL
ATI,PTL
SMCI,PTL
WRB,PTL
CRCL,PTL
MKL,PTL
ROL,PTL
ES,PTL
IOT,PTL
TSN,PTL
STRL,PTL
WST,PTL
BLD,PTL
JEF,PTL
SBAC,PTL
SOFI,PTL
EXPD,PTL
RS,PTL
ALB,PTL
LINE,PTL
STE,PTL
CMS,PTL
IFF,PTL
LH,PTL
NXT,PTL
ZS,PTL
L,PTL
VLTO,PTL
EFX,PTL
NI,PTL
CHRW,PTL
EXE,PTL
SSB,PTL
PKG,PTL
DECK,PTL
MKSI,PTL
LII,PTL
INCY,PTL
SN,PTL
BRO,PTL
ENTG,PTL
INVH,PTL
LSCC,PTL
SNA,PTL
QRVO,PTL
AFG,PTL
IP,PTL
ULS,PTL
RBRK,PTL
GNRC,PTL
ENSG,PTL
RBC,PTL
TSCO,PTL
CSL,PTL
EVRG,PTL
ESS,PTL
EWBC,PTL
APG,PTL
CDW,PTL
OWL,PTL
NVR,PTL
CF,PTL
TOST,PTL
ARE,PTL
PR,PTL
SSNC,PTL
WPC,PTL
VNOM,PTL
LAMR,PTL
HST,PTL
IEX,PTL
NDSN,PTL
NBIX,PTL
BWXT,PTL
MAS,PTL
TLN,PTL
BWA,PTL
COKE,PTL
MAA,PTL
SUI,PTL
NLY,PTL
PFGC,PTL
CLH,PTL
GH,PTL
SGI,PTL
CRBG,PTL
WSO,PTL
PNFP,PTL
IONQ,PTL
LAD,PTL
OVV,PTL
LECO,PTL
RPM,PTL
U,PTL
GWRE,PTL
THC,PTL
TYL,PTL
REG,PTL
AUR,PTL
TOL,PTL
CSGP,PTL
OHI,PTL
MOD,PTL
NTNX,PTL
PEN,PTL
GPC,PTL
RGLD,PTL
MLI,PTL
RRX,PTL
TRMB,PTL
RGA,PTL
SAIA,PTL
MKC,PTL
SOLV,PTL
KNX,PTL
DT,PTL
QXO,PTL
DTM,PTL
BBIO,PTL
WLK,PTL
DINO,PTL
EVR,PTL
DOC,PTL
SWK,PTL
UDR,PTL
DY,PTL
WBS,PTL
GGG,PTL
AMH,PTL
EXEL,PTL
SMMT,PTL
IESC,PTL
FHN,PTL
GL,PTL
ELS,PTL
TXRH,PTL
CNM,PTL
APA,PTL
PAG,PTL
RVTY,PTL
MEDP,PTL
BROS,PTL
IONS,PTL
DOCU,PTL
CPT,PTL
ERIE,PTL
AIT,PTL
PNW,PTL
WMS,PTL
GMED,PTL
PODD,PTL
AGNC,PTL
FIVE,PTL
ARW,PTL
BSY,PTL
SWKS,PTL
TTD,PTL
RMBS,PTL
SEIC,PTL
MP,PTL
SPXC,PTL
CGNX,PTL
MDGL,PTL
CACI,PTL
JKHY,PTL
SF,PTL
CCK,PTL
EGP,PTL
EHC,PTL
CR,PTL
AR,PTL
WTFC,PTL
FRT,PTL
UHAL,PTL
UMBF,PTL
WTS,PTL
BLDR,PTL
SFM,PTL
PRMB,PTL
FLS,PTL
BAX,PTL
R,PTL
SFD,PTL
ALSN,PTL
SCI,PTL
HESM,PTL
WTRG,PTL
VMI,PTL
AAON,PTL
HL,PTL
MUSA,PTL
CAVA,PTL
BXP,PTL
MASI,PTL
ONB,PTL
MANH,PTL
CHWY,PTL
SAIL,PTL
HLI,PTL
BRX,PTL
CDE,PTL
DCI,PTL
TTC,PTL
SARO,PTL
ZION,PTL
AM,PTL
GTLS,PTL
CUBE,PTL
AYI,PTL
SSD,PTL
COLB,PTL
W,PTL
WAL,PTL
FCFS,PTL
CFR,PTL
OGE,PTL
ORI,PTL
CTRE,PTL
REXR,PTL
TEM,PTL
CMC,PTL
PAYC,PTL
AGCO,PTL
PRI,PTL
MOH,PTL
AHR,PTL
NNN,PTL
DDS,PTL
BIO,PTL
JOBY,PTL
MIDD,PTL
RRC,PTL
ADC,PTL
UHS,PTL
GLXY,PTL
CHYM,PTL
FR,PTL
CELH,PTL
BOKF,PTL
AMG,PTL
RYAN,PTL
AOS,PTL
ATR,PTL
EAT,PTL
UGI,PTL
TTAN,PTL
TTEK,PTL
ZWS,PTL
AXTA,PTL
ESTC,PTL
STAG,PTL
KNSL,PTL
HQY,PTL
EXP,PTL
AN,PTL
POOL,PTL
PPC,PTL
NEU,PTL
DOX,PTL
PCOR,PTL
KNTK,PTL
MHK,PTL
FLR,PTL
OMF,PTL
IDA,PTL
JBTM,PTL
CPB,PTL
JXN,PTL
GTES,PTL
CAG,PTL
AWI,PTL
FSS,PTL
STWD,PTL
PJT,PTL
KRMN,PTL
VNO,PTL
FND,PTL
IBP,PTL
NFG,PTL
OKLO,PTL
MSA,PTL
RGEN,PTL
CHE,PTL
TMHC,PTL
ROAD,PTL
EPAM,PTL
G,PTL
APPF,PTL
LPX,PTL
LW,PTL
LOAR,PTL
KVYO,PTL
RYTM,PTL
MTG,PTL
SITE,PTL
ESAB,PTL
IDCC,PTL
ADT,PTL
STEP,PTL
RITM,PTL
TREX,PTL
DLB,PTL
HLNE,PTL
FBIN,PTL
CAI,PTL
UWMC,PTL
WING,PTL
CVLT,PTL
MKTX,PTL
OLLI,PTL
EXLS,PTL
PLNT,PTL
FOUR,PTL
LRN,PTL
OLED,PTL
UPST,PTL
BFAM,PTL
WAY,PTL
SMR,PTL
KD,PTL
BMNR,PTL
ABTC,PTL
BJ,PTL
NG=F,PTL
NVDA,CATH
PRU,USETHOS
MET,USETHOS
USB,USETHOS
PNC,USETHOS
TFC,USETHOS
SCHW,USETHOS
APO,USETHOS
XOM,USETHOS
T,USETHOS
VZ,USETHOS
KKR,USETHOS
STT,USETHOS
PFG,USETHOS
CVX,USETHOS
FITB,USETHOS
HBAN,USETHOS
CB,USETHOS
CFG,USETHOS
NEE,USETHOS
IBKR,USETHOS
MTB,USETHOS
TMUS,USETHOS
CME,USETHOS
DUK,USETHOS
KEY,USETHOS
AMP,USETHOS
ICE,USETHOS
NTRS,USETHOS
AIG,USETHOS
RF,USETHOS
SO,USETHOS
CHTR,USETHOS
PCG,USETHOS
COP,USETHOS
PGR,USETHOS
D,USETHOS
AEP,USETHOS
EXC,USETHOS
AFL,USETHOS
SRE,USETHOS
CEG,USETHOS
EIX,USETHOS
RJF,USETHOS
MPC,USETHOS
HIG,USETHOS
L,USETHOS
XEL,USETHOS
PSX,USETHOS
KHC,USETHOS
ACGL,USETHOS
FISV,USETHOS
OXY,USETHOS
AJG,USETHOS
ETR,USETHOS
GEV,USETHOS
ED,USETHOS
O,USETHOS
KDP,USETHOS
KMI,USETHOS
FANG,USETHOS
OKE,USETHOS
WELL,USETHOS
ES,USETHOS
ADP,USETHOS
GPN,USETHOS
AMT,USETHOS
EG,USETHOS
VLO,USETHOS
DOW,USETHOS
WMB,USETHOS
FCX,USETHOS
MRSH,USETHOS
CRH,USETHOS
PEG,USETHOS
NEM,USETHOS
FE,USETHOS
ADM,USETHOS
DTE,USETHOS
SLB,USETHOS
EOG,USETHOS
AES,USETHOS
WEC,USETHOS
AON,USETHOS
BKR,USETHOS
KR,USETHOS
AEE,USETHOS
DLR,USETHOS
BX,USETHOS
CNP,USETHOS
BG,USETHOS
PPL,USETHOS
HOOD,USETHOS
SW,USETHOS
WRB,USETHOS
FIS,USETHOS
CTVA,USETHOS
APH,USETHOS
EQT,USETHOS
VST,USETHOS
CINF,USETHOS
EQIX,USETHOS
CMS,USETHOS
NRG,USETHOS
XYZ,USETHOS
SPG,USETHOS
AMCR,USETHOS
NI,USETHOS
IP,USETHOS
AIZ,USETHOS
NUE,USETHOS
DHI,USETHOS
MMM,USETHOS
AWK,USETHOS
TSN,USETHOS
ROP,USETHOS
EVRG,USETHOS
ARE,USETHOS
BEN,USETHOS
LYB,USETHOS
LEN,USETHOS
DVN,USETHOS
DG,USETHOS
CCI,USETHOS
GL,USETHOS
PNW,USETHOS
ATO,USETHOS
CBRE,USETHOS
URI,USETHOS
BRO,USETHOS
IQV,USETHOS
WTW,USETHOS
EXE,USETHOS
EXR,USETHOS
COIN,USETHOS
SYY,USETHOS
VTR,USETHOS
NDAQ,USETHOS
NXPI,USETHOS
TRGP,USETHOS
KVUE,USETHOS
IVZ,USETHOS
CPAY,USETHOS
SHW,USETHOS
LYV,USETHOS
PWR,USETHOS
IFF,USETHOS
HAL,USETHOS
BXP,USETHOS
LNT,USETHOS
CTRA,USETHOS
MOS,USETHOS
SMCI,USETHOS
WAB,USETHOS
TAP,USETHOS
PPG,USETHOS
AVB,USETHOS
STZ,USETHOS
FOX,USETHOS
FOXA,USETHOS
